Name,Kind
超甜型玉米可溶性总糖性状,PHENOTYPE
细胞质基因,GENE
配合力,PHENOTYPE
特殊配合力,PHENOTYPE
一般配合力,PHENOTYPE
总配合力效应,PHENOTYPE
杂交组合,BREED
长根茎性状,PHENOTYPE
核遗传控制,GENE
基因的加性效应,GENE
玉米耐深播种质印第安兰粒,BREED
根茎伸长,PHENOTYPE
3对基因,BREED
热带种质非洲IRAT,BREED
植株保绿度,PHENOTYPE
茎秆硬度,PHENOTYPE
子粒容重,PHENOTYPE
抗病性,PHENOTYPE
玉米无叶舌性状,PHENOTYPE
单隐性基因,GENE
单质量性状,PHENOTYPE
无叶舌,PHENOTYPE
茎叶夹角,PHENOTYPE
长根茎,PHENOTYPE
短根茎,PHENOTYPE
热带玉米种质,BREED
多基因控制,GENE
直立时自交系,BREED
高光效相,PHENOTYPE
株系,BREED
基因型值相关阵,METHODS
表型均值相关阵,METHODS
聚类分析,METHODS
穗重,PHENOTYPE
雄穗分枝,PHENOTYPE
南斯拉夫玉米群体SYN1,BREED
半同胞轮回选择,METHODS
唐山,ENVIRONMENT
贝尔格莱德,ENVIRONMENT
半双列杂交,METHODS
标准自交系,BREED
田间部分性状,PHENOTYPE
产量,PHENOTYPE
中国,ENVIRONMENT
南斯拉夫,ENVIRONMENT
南斯拉夫玉米群体,BREED
杂交组合产量,PHENOTYPE
通径分析,METHODS
千粒重,PHENOTYPE
普通玉米自交系,BREED
完全双列杂交,METHODS
果穗性状,PHENOTYPE
直接效应,METHODS
加性和显性效应,METHODS
基因型值的预测,METHODS
单株产量,PHENOTYPE
ADM模型,METHODS
关联度分析法,METHODS
糯甜玉米杂交组合F1代,BREED
灰色关联度,PHENOTYPE
胚直接效应,PHENOTYPE
二倍体胚,PLACE
三倍体胚乳种子,PLACE
胚乳直接效应,PHENOTYPE
母体效应,PHENOTYPE
细胞质效应,PHENOTYPE
粒宽,PHENOTYPE
胚、胚乳、母体基因效应,GENE
胚乳和母体效应,GENE
粒长,PHENOTYPE
粒厚,PHENOTYPE
子粒百粒重,PHENOTYPE
粒百粒重,PHENOTYPE
大粒,PHENOTYPE
S22,BREED
胚乳效应,GENE
胚乳直接加性效应,GENE
母体加性效应,GENE
胚、胚乳直接效应,GENE
母体效应间,GENE
农艺性状,PHENOTYPE
抗逆性,PHENOTYPE
单倍体育种,METHODS
RFLP划分基因库技术,METHODS
授粉效率,PHENOTYPE
多叶玉米,BREED
穗位节上部功能叶片增加,PHENOTYPE
多叶型玉米,BREED
控制多叶性状的基因,GENE
多叶型,BREED
超多叶型玉米,BREED
多叶玉米穗上,PLACE
单株穗位上部叶面积自交系,BREED
叶面积系数,PHENOTYPE
延长光合时间,PHENOTYPE
加快灌浆速率,PHENOTYPE
超甜玉米自交系,BREED
三倍体胚乳遗传模型,METHODS
sh2基因,GENE
微效多基因,GENE
发芽率,PHENOTYPE
直接显性效应,GENE
直接加性效应,GENE
母体显性效应,GENE
细胞遗传率,GENE
α-淀粉酶活力,PHENOTYPE
粒重,PHENOTYPE
发芽势,PHENOTYPE
发芽性状,PHENOTYPE
质量性状,PHENOTYPE
主基因和微效多基因,GENE
泰苏黄,BREED
粤20-3-1,BREED
泰苏黄×粤20-3-1,BREED
GCA,PHENOTYPE
SCA,PHENOTYPE
加性基因效应,GENE
美玉米育种,BREED
定向等位基因选择,METHODS
标记辅助选择,METHODS
高产,PHENOTYPE
适应,PHENOTYPE
灰色关联度分析,METHODS
早熟玉米品种,BREED
玉米杂交种绵单一号,BREED
亲本81565,BREED
耐旱性,PHENOTYPE
绵单一号,BREED
产量性状抗旱系数,PHENOTYPE
耐密性,PHENOTYPE
优良玉米品种,BREED
高密度,ENVIRONMENT
雌雄穗发育协调,PHENOTYPE
耐密型品种,BREED
株型紧奏,PHENOTYPE
根茎强壮,PHENOTYPE
抗倒,PHENOTYPE
结实性,PHENOTYPE
耐密性选择,PHENOTYPE
耐密性育种,METHODS
株型选择,METHODS
耐密型玉米种质,BREED
开花习性,PHENOTYPE
单倍体诱导频率,PHENOTYPE
玉米孤雌生殖诱导系,BREED
WS14,BREED
Stock6,BREED
玉米孤雌生殖单倍体,PLACE
植株矮小,PHENOTYPE
生育期较短,PHENOTYPE
生产能力,PHENOTYPE
难以散粉,PHENOTYPE
诱导系,BREED
显性基因Rn,GENE
隐性基因gl1,GENE
隐性基因lg1,GENE
5×5完全双列杂交分析方法,METHODS
玉米花药培养能力,PHENOTYPE
胚状体,PLACE
加性效应,METHODS
绿苗产量,PHENOTYPE
胚状体产量,PHENOTYPE
氮肥,ENVIRONMENT
硝酸盐污染,ENVIRONMENT
不同基因型玉米,BREED
氮素营养效率,PHENOTYPE
施氮,ENVIRONMENT
氮效率,PHENOTYPE
氮响应度,PHENOTYPE
玉米基因型,GENE
模糊聚类分析,METHODS
不完全双列杂交,METHODS
武132,BREED
武13,BREED
中5021,BREED
齐318,BREED
小区产量,PHENOTYPE
不完全双列杂交法,METHODS
品质性状,PHENOTYPE
淀粉,PHENOTYPE
油分,PHENOTYPE
蛋白质,PHENOTYPE
赖氨酸含量,PHENOTYPE
普通玉米,BREED
晋单27号,BREED
中矮,PHENOTYPE
大穗大粒,PHENOTYPE
株叶结构紧凑,PHENOTYPE
适度密植高产,PHENOTYPE
抗病,PHENOTYPE
川农交9号,BREED
川农单交9号,BREED
“三高”自交系48—2,BREED
大穗,PHENOTYPE
丰产,PHENOTYPE
多抗,PHENOTYPE
中熟,PHENOTYPE
多抗性,PHENOTYPE
高产性,PHENOTYPE
抗病甸11,BREED
原甸骨11A,BREED
单基因抗源ROH43Htl,GENE
回交,METHODS
自交,METHODS
测配,METHODS
玉米大斑病,ENVIRONMENT
人工接菌鉴定,METHODS
抗倒伏力,PHENOTYPE
次生果穗多,PHENOTYPE
雄花分枝特少,PHENOTYPE
抗丝黑穗病力,PHENOTYPE
成熟期,ENVIRONMENT
龙辐玉1号,BREED
龙单1号,BREED
龙单5号,BREED
茎腐病,PHENOTYPE
大斑病,PHENOTYPE
单基因抗病,PHENOTYPE
成熟花粉,PLACE
PCR扩增,METHODS
玉米基因组DNA,GENE
花粉悬液浓度,METHODS
花粉上清液,METHODS
RAPD-PCR,METHODS
碱基随机引物,GENE
改良Guidet法,METHODS
RAPD分析,METHODS
基因SCAR,METHODS
玉米单株花粉,PHENOTYPE
花粉悬液,PLACE
PCR反应,METHODS
灰色关联分析,METHODS
经济性状,PHENOTYPE
单穗粒重,PHENOTYPE
穗粒行数,PHENOTYPE
农大3138,BREED
多基因模型,GENE
完全显性主基因,GENE
主效基因,GENE
双隐性甜玉米纯合体,BREED
双隐性甜玉米,BREED
总含糖量,PHENOTYPE
超甜玉米,BREED
种胚,PLACE
干物质含量,PHENOTYPE
糯玉米杂交种,BREED
子粒产量,PHENOTYPE
熟期,PHENOTYPE
商品果穗率,PHENOTYPE
杂交种,BREED
糯玉米品种,BREED
穗粒数,PHENOTYPE
公顷穗数,PHENOTYPE
Mo17×330,BREED
77x330,BREED
Mo17×32,BREED
籽粒产量,PHENOTYPE
PTC,PHENOTYPE
UBND值,PHENOTYPE
植株高度,PHENOTYPE
UBND,PHENOTYPE
转基因玉米,BREED
糯玉米亲本自交系,BREED
果皮厚度基因效应,METHODS
糯玉米果皮数量性状,PHENOTYPE
果皮厚度,PHENOTYPE
糯玉米果皮厚度,PHENOTYPE
光敏感性,PHENOTYPE
晚熟,PHENOTYPE
绵阳,ENVIRONMENT
玉米品种,BREED
土壤干旱,ENVIRONMENT
大气干旱,ENVIRONMENT
玉米开花期,ENVIRONMENT
玉米叶片,PLACE
保水能力,PHENOTYPE
脯氨酸累积量,PHENOTYPE
相对电导率,PHENOTYPE
丙二醇含量,PHENOTYPE
抗旱系数,PHENOTYPE
基因型玉米,BREED
抗旱性,PHENOTYPE
玉米抗旱基因型,GENE
大气干旱法,METHODS
土壤干旱处理,METHODS
穗粒性状,PHENOTYPE
穗粒重,PHENOTYPE
单交S3代选系,BREED
选系,BREED
S3代选系,BREED
极端SCA测交系,BREED
群内单交后代选系,BREED
加强型甜玉米自交系,BREED
Griffing方法,METHODS
甜玉米含糖量性状,PHENOTYPE
含糖量性状,PHENOTYPE
加性—显性遗传模型,GENE
单株青穗产量,PHENOTYPE
配合力总效应,PHENOTYPE
玉米螟田间人工接种,METHODS
螟抗感程度,PHENOTYPE
亚洲玉米螟食叶,ENVIRONMENT
显性基因,GENE
玉米种质资源,BREED
适应性强,PHENOTYPE
抗病抗逆性,PHENOTYPE
逐步回归,METHODS
高产基因型,GENE
果穗粗而长,PHENOTYPE
粒重较高,PHENOTYPE
株高适宜,PHENOTYPE
叶片上冲挺拔,PHENOTYPE
自选系,BREED
外引系,BREED
外杂选系,BREED
混合线性模型,METHODS
穗位叶长,PHENOTYPE
叶宽,PHENOTYPE
苞叶长,PHENOTYPE
苞叶数,PHENOTYPE
苞叶重,PHENOTYPE
果柄长,PHENOTYPE
豫玉18号,BREED
郑单14号,BREED
上部叶片夹角小,PHENOTYPE
叶向值大,PHENOTYPE
群体叶面积,PHENOTYPE
干物质积累,PHENOTYPE
叶片光合色素,PHENOTYPE
可溶性糖含量,PHENOTYPE
过氧化物酶(POD)活性,PHENOTYPE
丙二醛(MDA)积累,PHENOTYPE
高抗多种病害,PHENOTYPE
抗旱,PHENOTYPE
竖叶大穗,PHENOTYPE
中等以上肥力地,ENVIRONMENT
相关分析,METHODS
主成分分析,METHODS
果穗,PHENOTYPE
行粒数因子,PHENOTYPE
果穗长,PHENOTYPE
分解遗传向量,METHODS
主成分转换,METHODS
玉米抗旱性,PHENOTYPE
数量性,PHENOTYPE
干旱,ENVIRONMENT
开花性状,PHENOTYPE
不完全双到杂交配合力分析,METHODS
Hayman双列杂交遗传分析,METHODS
因子聚类分析法,METHODS
化学诱导,METHODS
孤雌生殖系,BREED
自育优良自交系,BREED
单株穗,PHENOTYPE
孤雌生殖系405,BREED
单株穗粒重,PHENOTYPE
显性基因效应,GENE
上位性基因效应,GENE
紧凑型玉米,BREED
耐瘠,PHENOTYPE
高光效,PHENOTYPE
核基因型,GENE
不育胞质效应,GENE
恢复基因Rf3,GENE
玉米S组CMS,BREED
分子标记,METHODS
辅助选择,METHODS
轮回亲本,BREED
黄曲霉菌,ENVIRONMENT
非加性效应,METHODS
根系性状,PHENOTYPE
根鲜重,PHENOTYPE
根干重,PHENOTYPE
根总长,PHENOTYPE
根总条数,PHENOTYPE
气生根条数,PHENOTYPE
土壤中根条数,PHENOTYPE
玉米抗粗缩病,ENVIRONMENT
抗粗缩病,PHENOTYPE
定向轮回选择,METHODS
抗病基因,GENE
微效抗病基因,GENE
冀东生态区,PLACE
不完全双列杂交模式,METHODS
单株叶面积,PHENOTYPE
叶向值,PHENOTYPE
叶片保绿度,PHENOTYPE
光合速率,PHENOTYPE
叶绿素含量,PHENOTYPE
生物产量,PHENOTYPE
收获指数,PHENOTYPE
雄穗长度,PHENOTYPE
杂交种产量,PHENOTYPE
增强抗逆性,PHENOTYPE
降低成本,PHENOTYPE
抗倒性,PHENOTYPE
光合生理性状,PHENOTYPE
秃尖度配合力效应值,PHENOTYPE
总配合力,PHENOTYPE
高赖高蛋白玉米,BREED
高赖高油玉米,BREED
自改—1,BREED
抗病能力,PHENOTYPE
廊玉2号),BREED
冀单15号,BREED
爆玉米优良杂交种,BREED
单株产量性状,PHENOTYPE
遗传力,GENE
遗传变异幅度,GENE
遗传进度等,GENE
爆玉米产量性状,PHENOTYPE
遗传力的大小,GENE
秃尖度,PHENOTYPE
轴重,PHENOTYPE
单穗重,PHENOTYPE
遗传相关分析,METHODS
单株籽粒产量,PHENOTYPE
行数,PHENOTYPE
非加性基因控制,GENE
RFLP技术,METHODS
基因位点数目,GENE
植株紧凑,PHENOTYPE
黄早四杂交种,BREED
株型紧凑,PHENOTYPE
半紧凑,PHENOTYPE
紧凑型玉米杂交种,BREED
黄早四,PHENOTYPE
NCⅡ遗传交配,METHODS
株型,PHENOTYPE
穗型性状,PHENOTYPE
轮回选择,METHODS
田间农艺性状,PHENOTYPE
沪青一号,BREED
抗倒性强,PHENOTYPE
单株绝干重,PHENOTYPE
单位面积鲜重,PHENOTYPE
竖叶,PHENOTYPE
优质,PHENOTYPE
适应性广,PHENOTYPE
黑玉米种质资源,BREED
墨西哥玉米,BREED
染色体组成,METHODS
有效穗数,PHENOTYPE
高抗白粉病,PHENOTYPE
植株较矮,PHENOTYPE
爆裂玉米,BREED
膨爆特性,PHENOTYPE
数量性 状,PHENOTYPE
有利基因,GENE
优良性状,PHENOTYPE
杂交,METHODS
300粒重,PHENOTYPE
容重,PHENOTYPE
收获时籽粒含水量,PHENOTYPE
籽粒性状,PHENOTYPE
籽粒容重,PHENOTYPE
籽粒含水量,PHENOTYPE
单株产,PHENOTYPE
腐霉菌,ENVIRONMENT
核基因,GENE
基因加性效应,METHODS
爆裂玉米自交系,BREED
膨胀倍数,PHENOTYPE
秃尖长,PHENOTYPE
轴粗,PHENOTYPE
爆粒率,PHENOTYPE
膨胀倍数性状,PHENOTYPE
等位基因,GENE
加性-显性模型,METHODS
丹340,BREED
综合性状优良,PHENOTYPE
适应性,PHENOTYPE
丹340衍生系,BREED
硬粒,PHENOTYPE
马齿,PHENOTYPE
糯质,PHENOTYPE
粉质,PHENOTYPE
爆烈,PHENOTYPE
百色,PLACE
河池,PLACE
南宁,PLACE
柳州,PLACE
桂林,PLACE
超黄早4,BREED
烟单14,BREED
鲁玉2号,BREED
掖单2号,BREED
黄早4,BREED
回交改良法,METHODS
边际效应指数,PHENOTYPE
产量边际效应指数,PHENOTYPE
部各性状,PHENOTYPE
耐密品种,BREED
粒深,PHENOTYPE
量边际效应指数,PHENOTYPE
加细胞渗透剂,METHODS
加渗透剂法,METHODS
结实率,PHENOTYPE
入选率,PHENOTYPE
掖单13,BREED
Y-型不育细胞质,GENE
ZA6192,BREED
轮回选择法,METHODS
红叶病,ENVIRONMENT
矮花叶病,ENVIRONMENT
丝黑穗病,ENVIRONMENT
春播生育期,PHENOTYPE
籽粒长,PHENOTYPE
张单47,BREED
张单1825,BREED
张单481,BREED
莱1029,BREED
自330,BREED
胚性愈伤组织频率,PHENOTYPE
上位性,PHENOTYPE
武字号自交系,BREED
耐密植性,PHENOTYPE
武字号新系5029,BREED
叶角,PHENOTYPE
耐密植,PHENOTYPE
穗大,PHENOTYPE
粒饱,PHENOTYPE
较高密度,ENVIRONMENT
秃尖,PHENOTYPE
高赖氨酸玉米自交系,BREED
Grifing方法,METHODS
籽粒密度,PHENOTYPE
穗粒重性状,PHENOTYPE
硬质粒,PHENOTYPE
高赖氨酸,PHENOTYPE
非加性效应作用,GENE
粗缩病,ENVIRONMENT
青枯病,ENVIRONMENT
单产,PHENOTYPE
光能利用率,PHENOTYPE
抗倒伏,PHENOTYPE
矮秆玉米,BREED
熟期早,PHENOTYPE
籽粒类型偏硬,PHENOTYPE
水分含量,PHENOTYPE
果皮,PLACE
胚乳,PLACE
致密结构,PHENOTYPE
胚乳突变基因,GENE
醇溶蛋白含量,PHENOTYPE
谷蛋白含量,PHENOTYPE
乳突变基因,GENE
醇溶蛋白含,PHENOTYPE
品质,PHENOTYPE
半硬质胚乳奥帕克-2玉米群体,BREED
单株赖氨酸产量,PHENOTYPE
籽粒物理性状,PHENOTYPE
营养品质性状,PHENOTYPE
硬质度,PHENOTYPE
胚比,PHENOTYPE
百粒体积,PHENOTYPE
蛋白质品质性状,PHENOTYPE
蛋白质品质,PHENOTYPE
赖氨酸产量,PHENOTYPE
全籽粒蛋白质品质,PHENOTYPE
胚乳蛋白质品质,PHENOTYPE
胚蛋白质品质,PHENOTYPE
奥帕克-2主基因,GENE
修饰基因,GENE
农单5号,BREED
中早熟,PHENOTYPE
冀单29,BREED
稳产,PHENOTYPE
种植密度,PHENOTYPE
细胞质,PHENOTYPE
母体遗传效应,METHODS
弯孢菌叶斑病抗性基因,GENE
沈135,BREED
弯孢菌叶斑病抗性,PHENOTYPE
QTL,GENE
遗传作图,METHODS
QTL分析,METHODS
不抗旱,PHENOTYPE
丰产性,PHENOTYPE
优质性,PHENOTYPE
CIMMYT玉米群体,BREED
亚热带玉米种质,BREED
株高降低,PHENOTYPE
生育期缩短,PHENOTYPE
粒多,PHENOTYPE
结实率高,PHENOTYPE
米质变优,PHENOTYPE
植物分子育种方法,METHODS
毕节地区杂交玉米,BREED
灰色局势决策,METHODS
水分严重胁迫,ENVIRONMENT
水分胁迫,ENVIRONMENT
形态发育,PHENOTYPE
生理性状,PHENOTYPE
抗旱自交系,BREED
水分亏缺,ENVIRONMENT
不抗旱自交系,BREED
pepc基因,GENE
单株有效穗,PHENOTYPE
穗总粒数,PHENOTYPE
原始亲本Kitaake,BREED
转pepc基因水稻,BREED
水稻叶片,PLACE
潮霉素催芽初选,METHODS
分子标记抽检,METHODS
田间表型决选,METHODS
生理生化指标定量鉴定,METHODS
半完全双列杂交,METHODS
籽粒品质,PHENOTYPE
籽粒硬度,PHENOTYPE
蛋白质含量,PHENOTYPE
硬度,PHENOTYPE
哈大顶,BREED
旅大红骨,BREED
辽综,BREED
辽巨311,BREED
大洋,BREED
辽原1号,BREED
多基因高赖氨酸,PHENOTYPE
辽锋,BREED
洋墨,BREED
定向轮选,METHODS
武314,BREED
陕单972,BREED
秦岭山区,PLACE
关中西部,PLACE
双向查询,METHODS
丹玉旅系,BREED
旅大红骨类群,BREED
旅28,BREED
旅9,BREED
旅9宽,BREED
综合农艺性状优良,PHENOTYPE
数量遗传性状,PHENOTYPE
穗粗二性状,PHENOTYPE
基因雄性不育,PHENOTYPE
不育性,PHENOTYPE
隐性基因,GENE
标记性状基因,GENE
不育基因,GENE
高产核不育两用系,BREED
掖单13号,BREED
ms°-plf基因,GENE
子粒长度,PHENOTYPE
显性模型,METHODS
显性基因控制,PHENOTYPE
生性相关分析,METHODS
遗传效应分析,METHODS
早代配合力测定,METHODS
杂交种筛选,METHODS
多点鉴定,METHODS
综合性状好,PHENOTYPE
Pool33QPM种质,BREED
高轮T33QPM群体,BREED
半硬质胚乳,PHENOTYPE
优质蛋白,PHENOTYPE
硬质,PHENOTYPE
直接选系,BREED
种子水分含量,PHENOTYPE
玉米籽粒水分,PHENOTYPE
加性—显性模型,METHODS
籽粒水分含量,PHENOTYPE
Griffing完全双列杂交,METHODS
一般配合力方差,PHENOTYPE
特殊配合力方差,PHENOTYPE
自交系9803,BREED
表型性状,PHENOTYPE
杂种优势,METHODS
RAPD分子标记,METHODS
标记性状数量,PHENOTYPE
生长发育时期,PHENOTYPE
株型性状,PHENOTYPE
甜玉米自交系,BREED
黑甜,BREED
遗甜,BREED
黄平白甜,BREED
般配合力效应值,PHENOTYPE
膨爆品质性状,PHENOTYPE
子粒物理性状,PHENOTYPE
子粒体积,PHENOTYPE
米花体积,PHENOTYPE
膨爆倍数,PHENOTYPE
子粒体积适中,PHENOTYPE
粒重广大,PHENOTYPE
比重较高,PHENOTYPE
爆裂玉米品质,BREED
孤雌生殖诱导系Stock6,BREED
单倍体诱导测验,METHODS
Navajo斑纹标记,PHENOTYPE
胚面大,PHENOTYPE
花粉量多,PHENOTYPE
籽粒Navajo斑纹标记较深,PHENOTYPE
苏37,BREED
热带种质,BREED
S37,BREED
同工酶标记位点,GENE
Got2-6基因,GENE
Sod1-B,GENE
MRD值,GENE
Acp4,GENE
Adh1,GENE
成单16系,BREED
Eberhart法,METHODS
Tai法,METHODS
成单16,BREED
稳定性,PHENOTYPE
高抗,PHENOTYPE
水平抗性,PHENOTYPE
叶面积,PHENOTYPE
叶形系数,PHENOTYPE
叶夹角,PHENOTYPE
加性遗传模型,METHODS
加性显性遗传模型,METHODS
减效等位基因,GENE
增效等位基因,GENE
加性上位性效应,PHENOTYPE
糯玉米自交系,BREED
遗传参数,PHENOTYPE
性基因控制,GENE
非加性基因效应,METHODS
N9603,BREED
糯玉米,BREED
Griffing2设计,METHODS
株型性状遗,PHENOTYPE
配合力研究,PHENOTYPE
紧凑型,PHENOTYPE
半紧凑型,PHENOTYPE
灰色系统理论,METHODS
位高,PHENOTYPE
上位性与加性效应,METHODS
干重,PHENOTYPE
加—显遗传模型,METHODS
加加上位性,METHODS
雄穗长,PHENOTYPE
早熟优质蛋白玉米自交系,BREED
苗期性状,PHENOTYPE
穗部性状,PHENOTYPE
苗期叶面积,PHENOTYPE
苗期叶干重,PHENOTYPE
拨节期叶干重,PHENOTYPE
粒行数,PHENOTYPE
喇叭口期叶面积,PHENOTYPE
叶面积增长速率,PHENOTYPE
出叶速率,PHENOTYPE
平均灌浆速率,PHENOTYPE
单株穗重,PHENOTYPE
太早9502,BREED
太早9503,BREED
太早9504,BREED
春早单1号,BREED
春早单2号,BREED
特早熟,PHENOTYPE
植株频率,PHENOTYPE
逐步导入法,METHODS
矮秆,PHENOTYPE
辐照,METHODS
青枯病抗性,PHENOTYPE
玉米青枯病,ENVIRONMENT
微效多基因控,GENE
Mo17,BREED
E28,BREED
高抗青枯病,PHENOTYPE
高赖氨酸自交系,BREED
二类自交系,BREED
叶夹角性状,PHENOTYPE
基因累加效应,PHENOTYPE
平展叶型自交系,BREED
直立叶型自交系,BREED
双列杂交,METHODS
糯玉米鲜穗单株生产力,PHENOTYPE
每穗粒数,PHENOTYPE
一行粒数,PHENOTYPE
果穗长度,PHENOTYPE
果穗粗度,PHENOTYPE
单位面积株数,PHENOTYPE
鲜穗单株生产力,PHENOTYPE
因素性状,PHENOTYPE
间接效应,PHENOTYPE
玉米籽粒产量,PHENOTYPE
豫综5号,BREED
华玉三号,BREED
有利等位基因,GENE
花粉直感,PHENOTYPE
甜质籽粒数,PHENOTYPE
非甜籽粒数,PHENOTYPE
出苗率高,PHENOTYPE
幼苗健壮,PHENOTYPE
青穗产量高,PHENOTYPE
青穗籽粒含糖,PHENOTYPE
食味好,PHENOTYPE
非甜籽粒,PLACE
异型杂交甜玉米,BREED
育种数量性状,PHENOTYPE
关联度方法,METHODS
柱头导入受体,METHODS
变异率,PHENOTYPE
DNA含量,GENE
直接涂抹,METHODS
预先18h涂抹,METHODS
DNA+Ca拌受体花粉授粉,METHODS
DNA溶液,PHENOTYPE
Grifing双列杂交方法,METHODS
较高产量,PHENOTYPE
陕西夏播,ENVIRONMENT
中群14号,BREED
光周期敏感性,PHENOTYPE
半硬质胚,PHENOTYPE
早籼213,BREED
低能离子束介导,METHODS
紫玉米全DNA,GENE
美国硬粒坚杆玉米,BREED
鄂西地方玉米,BREED
墨黄九,BREED
回归分析,METHODS
WMBCo,BREED
抗青枯病,PHENOTYPE
高抗玉米青枯病,PHENOTYPE
抗性配合力,PHENOTYPE
抗病杂交种,BREED
光合性状,PHENOTYPE
有效灌浆期,PHENOTYPE
超早熟,PHENOTYPE
抗寒冷,PHENOTYPE
坝上火玉米,BREED
优良农艺性状,PHENOTYPE
极早熟自交系,BREED
苏湾1号,BREED
墨黄9,BREED
吐丝,PHENOTYPE
抽雄,PHENOTYPE
ASI值,PHENOTYPE
光敏感基因,GENE
紧凑株型杂交种,BREED
苞叶层数,PHENOTYPE
苞叶干重,PHENOTYPE
苞叶总长,PHENOTYPE
苞叶总宽,PHENOTYPE
苞叶总面积,PHENOTYPE
苞叶,PLACE
灰色关联度分析方法,METHODS
灌浆速度,PHENOTYPE
抽雄吐丝期,PHENOTYPE
黔西北山区旱坡地玉米,BREED
果穗粗,PHENOTYPE
粒大而深,PHENOTYPE
千粒重高,PHENOTYPE
半硬粒,PHENOTYPE
果穗较长,PHENOTYPE
轴细,PHENOTYPE
行粒数较多,PHENOTYPE
秃顶小,PHENOTYPE
穗位适中,PHENOTYPE
茎秆粗壮坚韧,PHENOTYPE
抗纹枯病,PHENOTYPE
小斑病,ENVIRONMENT
主成分分析法,METHODS
云南糯玉米种质,BREED
中秆,PHENOTYPE
淀粉含量,PHENOTYPE
油分含量,PHENOTYPE
加性—显性—上位性模型,METHODS
外观商品品质,PHENOTYPE
穗位性状,PHENOTYPE
果穗大小,PHENOTYPE
子粒大小,PHENOTYPE
吐丝快,PHENOTYPE
花期协调,PHENOTYPE
小粒,PHENOTYPE
瘪粒,PHENOTYPE
耐旱丰产玉米,BREED
相对萎蔫度,PHENOTYPE
耐旱基因,GENE
水旱平行交替,ENVIRONMENT
耐旱,PHENOTYPE
高配自交,PHENOTYPE
株形,PHENOTYPE
雄穗,PHENOTYPE
自新单1号,BREED
抗倒伏能力,PHENOTYPE
耐肥,PHENOTYPE
耐水能力,PHENOTYPE
遗传基础丰富,PHENOTYPE
经济性状好,PHENOTYPE
eidYellowDent类群,BREED
白糯玉米自交系,BREED
特殊配合力(,PHENOTYPE
遗传变量,PHENOTYPE
自交系9883,BREED
抽丝期,PHENOTYPE
抽雄期,PHENOTYPE
一次分枝数,PHENOTYPE
出苗期,PHENOTYPE
主轴小,PHENOTYPE
改进列联表法,METHODS
格列芬方法Ⅳ,METHODS
增广NCⅡ,METHODS
中综3号,BREED
行位数,PHENOTYPE
开花期,PHENOTYPE
干旱条件,ENVIRONMENT
雌雄开花间隔天数,PHENOTYPE
单株穗数,PHENOTYPE
CIMMYT耐旱群体,BREED
优良耐旱种质,BREED
吉853,BREED
玉米抗病资源,BREED
抗冷性资源,BREED
优良品质资源,BREED
黑玉米,BREED
红玉米,BREED
果穗秃尖长,PHENOTYPE
总生育期,PHENOTYPE
雌雄穗发育正常,PHENOTYPE
子粒成熟,ENVIRONMENT
糯玉米种质资源,BREED
形态特征,PHENOTYPE
