sentence,relation,head,head_offset,tail,tail_offset
"结果表明,218份玉米材料间存在较大的差异,变异系数为6.37%~87.60%,平均变异系数为19.44%;每株穗粗(r=0.5217)、行粒数(r=0.4367)、穗长(r=0.4053)与单株产量呈极显著正相关,穗行数(r=0.3759)、千粒重(r=0.3586)与单株产量呈显著正相关,秃尖长(r=-0.0200)与单株产量呈负相关;通过聚类分析,将所有供试材料划分为四大类群,第Ⅰ大类主要以中晚熟组材料为主,株高高,果穗粗,行粒数多,单株产量高;第Ⅱ大类主要以生育期长为主,千粒重较重,单株产量较高;第Ⅲ大类主要是中熟材料,茎秆细,秃尖小,穗轴细;第Ⅳ大类主要为早熟材料。",影响,千粒重,122,单株产量,96
"以玉米和水稻高密度分子标记连锁图IBM302和Genetic98每条染色体上标记的交换次数为性状,分别在玉米和水稻上定位了12个和57个QTL。",方法,分子标记连锁图,9,染色体,34
﻿对10个杂交种及对应的5个自交系的产量和产量相关性状进行了配合力、遗传力等遗传参数的研究。,方法,遗传力,34,产量相关性状,21
"﻿应用灰色关联度分析方法,对四川省玉米杂交种主要农艺性状间(生育期、株高、穗位高、除倒伏、穗长、穗行数、行粒数、百粒重、出籽率、单穗粒重)的相关性进行了分析。",方法,单穗粒重,64,灰色关联度分析方法,3
"﻿对用cDNA microarray技术鉴定所得的玉米自交系Hz32(耐)与Mo17(敏)的根系在淹水胁迫早期响应的88个3倍差异表达ESTs进行电子定位,其中47条ESTs可分别排列到玉米10条染色体上;ESTs电子定位结果与玉米耐渍性QTLs图谱的整合发现,10条ESTs落入耐渍性QTLs区段内,并分别位于第1、2、4、5、9和10号染色体上。",方法,ESTs电子定位,103,耐渍性QTLs区段,140
根据育种目标筛选出磷吸收效率和磷利用效率都较大的玉米基因型178、7146、488、5003、黄C和7331。,调控,玉米基因型,24,磷吸收效率,9
"要育成集双亲优点于一体的新品种,制种单位为了配制出纯度高、质量好、数量多的杂交种子,除选配好适宜的亲本外,还需要掌握其主要技术环节。",表现,杂交种子,37,纯度高,25
"结果表明,供试品种在产量、穗粒数、穗位高、穗长等方面都表现出丰富的遗传多样性,各性状间存在不同的相关性;抽雄期和成熟期对供试品种的千粒重、穗粒数和产量均有不同程度影响。",表现,品种,7,丰富的遗传多样性,30
品质指标间粗淀粉含量与粗蛋白质和赖氨酸含量呈显著负相关;粗蛋白质含量与赖氨酸含量呈显著正相关。,影响,粗淀粉含量,5,粗蛋白质,11
"结果表明,多数性状在不同群体及不同轮回间存在真实的遗传差异,粒深遗传增益以GP4>GP5>GP3,穗行遗传增益以GP3>GP5>GP4,各个群体C4的粒深、穗行均值都显著或极显著大于C0,直接选择效应显著;株高和穗位高随选择周期增加呈明显增加趋势,且GP4的增幅显著大于GP3和GP5,单株产量及穗粗的遗传增益以GP4大于GP3和GP5,各群体多数产量性状的均值以C4显著大于C0,相关选择效应显著;除株高、穗位高外,其他性状GCA变异群体间差异达显著或极显著水平,GP5多数产量性状的GCA优于GP3和GP4,各群体多数产量性状的GCA效应值随改良进展呈增加趋势,对照优势大于8%的大部分测交组合均为各群体C4所配组合,间接选择效应显著;随改良世代进行,群体部分性状的表型变异系数虽有所减小,但变化幅度不大;基于SSR分子标记估算的群体内遗传相似系数,GP3和GP4改良后代呈略增趋势,GP5变化不大,对于群体基因型数,GP3和GP4随改良代数增加呈略减趋势,GP5呈略增趋势。",可视化,SR分子标记估,358,传相似系数,371
"结果表明,单倍体加倍系的籽粒容积和质量比亲本籽粒都有所提高,子代的农艺性状获得显著改善,说明发生单倍体不是基因随机分离的结果,单倍体育种存在选择压力,有利于优良基因的累积,淘汰不良基因。",表现,单倍体加倍系,5,籽粒容积,12
"﻿根据血缘关系,采用收量性与茎叶消化性性状基因互补结合,产生互优杂种优势的原理,利用墨西哥和热带玉米种质的茎叶高收量性和高茎叶消化性,与具有雌穗子粒高收量性的国内和国外种质,培育出抗病、高产、保绿、抗倒自交系203-279系和茎叶高消化性自交系203-204系。",表现,自交系203-279系,101,保绿,96
穗长、穗粗、行粒数、百粒重、粒深、出籽率等性状的边际效应指数与产量边际效应指数呈显著正相关。,表现,出籽率,17,边际效应指数,24
"﻿为玉米育种提供理论研究和培育新自交系,采用NCⅡ设计方法,按不完全双列杂交设计组配25个杂交组合进行田间试验。分析了株高、穗高、穗长、穗粗、结实长、穗行数、行粒数、小区产量、百粒重、出籽率10个性状的GCA和SCA。",可视化,NCⅡ设计方法,22,GCA和SCA,102
"改良群体高代选系P4MSC2-1、P4MSC2-2、P5MSC2-2和P5MSC2-3以及基础群体高代选系P5C0-3,自身产量和主要性状及其GCA表现较好,与测验种所配组合产量较高,有较大的育种利用价值。",表现,P4MSC2-1,8,自身产量,60
"﻿为了明确外引玉米自交系主要农艺性状及青枯病抗性,挖掘优异种质资源,提高育种成效,2015—2016年通过主要农艺性状和产量相关性状评价,鉴定得到8M129、3IIH6和2FADB等33份优异高产、适宜黑龙江省种植的自交系;田间接菌鉴定得到2MCDB、B97和GEMN-0117等25份自交系对青枯病具有较高抗性,可作为新的青枯病抗性种质扩充现有的种质资源,在育种中进一步利用;结合主要农艺性状和青枯病抗性鉴定,对外引玉米自交系进行综合评价,得到LH181、MBUB、LH195、LH214、PHPR5、PHJ65、LH213、LH209、PHR58、PHVA9、LH215和PHWG5等12个自交系育种潜力大、综合性状优良、适合黑龙江省种植,育种中可以优先加以利用,将其作为亲本较易选育出综合表现好或高产的组合。",表现,PHJ65,252,育种潜力大,300
结果表明:贵州玉米地方种质资源存在丰富的抗旱多样性。,表现,玉米地方种质,7,抗旱多样性,20
"﻿通过对矮秆玉米生理性状的分析,发现矮秆玉米具有光能利用率高、抗病抗倒伏能力强、能充分利用养分增产增收等优势,并提出选育熟期早、叶片为12片,且籽粒类型偏硬的矮秆玉米。",表现,矮秆玉米,4,抗倒伏,33
"从对磷的反应度来看,中宗2号,太411,187,58对供磷反应最大,而忻9005,KH12,XL12,冀257,冀35反应相对较小。",表现,XL12,46,反应相对较小,59
"所用材料中自交系鲁原92和A150是较好的高光效亲本,平均值较高的杂交组合的亲本中至少有一个是高光效的。",表现,高光效亲本,21,高光效,21
"同时通过对A28产量和主要农艺数量性状配合力分析,得出利用一般配合力高的自交系作父本,特殊配合力高的自交系作母本容易配出强优势单交种。",表现,A28,5,农艺数量性状,13
"育种中根据亲本果穗出籽率在不同环境中遗传效应预测值组配杂交组合,育成适应不同地区或某一特定地区的新品种,提高育种效率。",表现,果穗,7,出籽率,9
"﻿从武陵山区玉米地方品种中选取10个有代表性的纯系品种,按完全双列杂交组配45个杂交组合,研究播期效应对穗长、秃尖长、穗行数、行粒数、穗重、穗粒重和百粒重7个经济性状配合力的影响。",方法,行粒数,63,配合力,83
"在鲜食品质性状方面,多数性状上一般配合力表现较高的自交系有P3、P6、P5和P2;特殊配合力在多数性状上表现较高的组合有P36、P46、P13、P15、P24和P25。",表现,自交系,25,鲜食品质性状,1
遗传参数分析表明:穗长、行数、秃尖长主要受加性基因控制;百粒重、单株产量、穗重主要受非加性基因控制。,表现,加性基因,21,行数,12
结果表明:株高、穗位高、叶片数、穗长、行粒数、单株产量、2粒宽、容重8个性状的一般配合力(GCA)、特殊配合力(SCA)方差极显著。,方法,穗长,16,特殊配合力(SCA),50
"结果表明,参试材料的9个农艺性状的变异系数在2.19%58.72%之间;相关分析表明,行粒数与产量呈极显著正相关(r=0.450),秃尖长与产量间呈显著负相关(r=-0.336);通径分析表明,穗粗、行粒数和出籽率对产量的直接作用为正值,穗长、轴粗、秃尖长、穗行数和千粒重对产量的直接作用为负值;主成分分析表明,对产量贡献大小排序为秃尖长因子>行粒数因子>穗行数因子>穗粗因子。",影响,千粒重,133,产量,47
"本研究以玉米优良自交系许178和K12为亲本杂交衍生的包含150个家系的玉米重组自交系(recombinant inbred lines,RILs)群体为实验材料,对3年共7个环境的各家系玉米籽粒蛋白质含量、淀粉含量、油分含量共3个品质性状进行表型鉴定,使用最佳线性无偏预测法(best linear unbiased prediction,BLUP),结合表型值估计各家系各性状的BLUP值,利用WinQTLcart2.5的复合区间作图法(composite interval mapping,CIM),以似然函数比值对数值(logarithm viscosity odds,LOD)为2.5对目的性状进行全基因组QTLs扫描。",表现,玉米籽粒,94,淀粉含量,104
"结果表明:高产基因型的主要特征是:果穗粗而长,粒重较高,株高适宜,叶片上冲挺拔。",调控,高产基因型,5,果穗粗而长,17
"含糖量和果皮厚度遗传符合“加性-显性”模型,控制该性状的基因对数都在3对以上,它们的狭义遗传力分别是53.0%和29.6%;其中控制含糖量的加性效应比显性效应更重要,而控制果皮厚度的显性效应比加性效应更为重要,同时有超显性现象的存在。",方法,果皮厚度,4,“加性-显性”模型,12
"﻿以18-599(红)和R15组配的F2群体,构建了含88对SSR标记的玉米遗传连锁图谱,覆盖基因组1636.6cM,标记间平均距离为18.6cM。",单位,玉米遗传连锁图谱,36,cM,56
"结果表明,F2群体的单倍体胚成胚率呈混合正态分布,符合主基因+多基因混合遗传模型,最佳模型为B6,即单倍体胚成胚率由2对等显性主基因控制;主基因遗传率较低,仅为43.46%,表明非遗传因素对小麦材料单倍体胚成胚率的影响更大。",影响,非遗传因素,89,单倍体胚成胚率,10
"结果表明,籽粒百粒重、百粒体积、胚乳修饰度和籽粒密度在F1和F2代都表现一定的正向杂种优势;胚乳修饰度在F1代存在正反交差异,母体效应明显;4个性状的F2代表型值与中亲值的相关性最大;百粒重和百粒体积主要受母体效应控制,基因效应以显性效应为主;胚乳修饰度主要受种子直接效应控制,基因效应以加性效应为主;籽粒密度主要受母体效应控制,基因效应以加性效应和显性效应同等重要。",方法,籽粒密度,22,基因效应,110
"方法选用玉米高幼胚培养能力自交系R18-599(红)与低培养能力自交系R15获得6个世代,幼胚培养测定胚性愈伤组织诱导率、非胚性愈伤组织诱导率、愈伤组织克隆力和愈伤组织绿苗再分化数4个性状,采用6世代平均值分析法和主基因+多基因混合遗传模型世代联合分析法分别进行遗传分析。",方法,愈伤组织绿苗再分化数,80,主基因+多基因混合遗传模型世代联合分析法,107
"结果表明,普通玉米主要营养品质性状的遗传受种子二倍体胚、三倍体胚乳、细胞质和二倍体母体植株4套遗传体系的控制;主要品质性状4套遗传体系的效应值之间无太大的差异,蛋白质、淀粉和赖氨酸含量的胚遗传效应全部体现为胚加性遗传效应,而4种品质性状的胚乳遗传效应则全部由胚乳显性遗传效应构成;母体遗传效应主要表现为母体加性效应;遗传效应预测值表明亲本96369、9S2041-1-1-1和掖478在普通玉米品质改良中可能有一定的应用潜力。",方法,遗传体系,47,种子二倍体胚,21
"﻿本试验用含有EMS的石蜡油溶液处理10个玉米材料的成熟花粉,研究了EMS对花粉离体萌发率、M1代生理损伤以及M2代的诱变效应。",影响,EMS,7,M2代的诱变效应,55
"﻿按Griffing双列杂交(Ⅳ)方法,分析了8个玉米自交系的株高、穗位高、叶片数、雄穗分枝数、茎粗和单株叶面积等与抗旱性相关的植株性状在雨养地和水分胁迫下的GCA、SCA及遗传变量。",影响,雨养地,69,株高,31
"在干旱胁迫下和正常水分条件下,通过两种检测方法共定位到75个玉米穗部性状QTL,其中Y/H群体共定位了20个QTL,分布在第1、第2、第5、第6、第7、第10染色体上;Q/H群体共定位了55个QTL,分布在第2、第3、第4、第5、第6、第7、第9、第10染色体上;但是在干旱条件下两群体分别只检测到4个和19个QTL,明显低于正常水分条件下检测到的QTL数目。",影响,干旱胁迫,1,穗部性状QTL,32
"﻿对两个耗水和产量特性不同的夏玉米品种即鲁单981和郑单958,在不同生育阶段进行不同程度的水分胁迫试验,分析了作物耗水量、产量及其性状和阶段水分-产量响应系数(Ky)。",表现,鲁单981,20,作物耗水量,56
"﻿用13个玉米自交系按8×5不完全双列杂交配成40个组合,对其子粒产量等12个农艺性状的配合力进行了研究。",方法,子粒产量,31,配合力,44
"在第8染色体的bnlg1176标记区域共检测到不同年份不同水分条件下控制抽雄、吐丝、开花和ASI的8个QTL,效应值均较高,可以推断这个区域为控制开花性状的重要区域,其标记有辅助选择的应用价值。",调控,QTL,51,ASI,45
"有利于选出符合育种目标,配合力高,纯度高,产量高,抗逆性强,综合农艺性状好的玉米自交系。",表现,玉米自交系,38,配合力高,12
"﻿通过剖析西非地区玉米品种情况及其面临的问题,提出援西非农业项目玉米育种的策略建议:根据不同国家情况确定育种目标,培育不同类型玉米杂交品种,并注重品种耐旱、耐贫瘠等优良性状的选择;按""地方系""与""外来系""的配对模式组配,提高育种效率,并兼顾自交系一般配合力和产量选择;开展示范与配套技术研究以利于新品种推广等。",表现,自交系,120,产量选择,129
结果表明:甜玉米产量与各产量性状关联度的大小顺序为行数、穗粗、穗位高、行粒数、穗长、粒深、株高、秃尖;9个自交系可归为5类;组合中2JP233×农111、150B×中2JP233、中2JP233×引8-111、228×150B、228×大28-2、228×JP3为第一等级组合。,表现,自交系,53,行粒数,35
试验鉴定筛选出的抗旱性较强的玉米种质是玉米抗旱育种重要而珍贵的抗旱种质资源。,表现,玉米,14,抗旱,8
"群体06P7和06P8主要产量性状及其GCA表现较好,较对照高产组合出现次数多,且平均对照优势大,具有较大的改良利用潜力;对照群体GP-5虽主要产量性状均值较高,变异程度较大,且株高、穗位相对较矮,GCA负向效应较大,但主要产量性状GCA表现较差,需导入高配基因重组后,方可进一步改良利用;群体06P2和06P6主要产量性状及其GCA表现较差,育种潜力不大。",表现,06P6,152,育种潜力,172
该品种适宜贵州毕节市、六盘水市海拔1400~2200m区域中上等肥力地块种植。,单位,贵州毕节市,5,m,26
"得出结论,转基因玉米自交系抗旱性与耐盐碱性全部优于对照,证明外源badh基因的导入提高了受体自交系的抗旱性与耐盐碱性,并得到了抗旱性、耐盐碱性较强且保持原有农艺性状的高世代转基因玉米自交系。",表现,转基因玉米自交系,5,抗旱性,13
"半姊妹轮回选择和相互半姊妹轮回选择在改良群体产量一般配合力方面,均得到显著提高,呈逐轮上升的趋势;采用半姊妹轮回选择对豫综5号群体3轮的选择后,C3群体与C0相比,一般配合力效应值从-11.63增长到5.57,差异极显著;经1轮相互半姊妹轮回选择后,群体的一般配合力效应值从C3的5.57增加到C4的9.75。",方法,半姊妹轮回选择,0,改良群体产量一般配合力,18
"结果发现种植密度对容重性状影响显著,’XF134’、’4676A’、’811A’、’吉4112’等自交系受密度影响较小可以保持较高的容重,适合在密植环境下种植。",影响,种植密度,4,容重性状,9
"结果表明,测验系莫宜糯综合性状表现较好,尤其是在增加产量、穗行数及降低秃尖长度等方面有明显的作用;测验系天等糯在缩短生育期及增加株高、穗位高、穗长等方面有明显的作用;被测系JNF20-K、黄C都糯、N9大多数性状表现相对较好;鲜食糯玉米组合莫宜糯×JNF20-K是一个杂种优势强且其他各方面性状都优良的组合;天等糯×JNF20-K的综合性状表现最差,可利用价值不高;大多数农艺性状主要受加性基因效应影响,株高主要受非加性基因效应影响;糯玉米自交系选育时穗位高、穗长、穗粗、行粒数、小区产量等可以在早代选择,而出苗至吐丝天数、茎粗、穗行数、秃尖长度、籽粒深度最好在晚代选择。",表现,莫宜糯,8,降低秃尖长度,33
"经过对产量、穗长、行粒数、穗行数、千粒重等6个农艺性状进行相关分析和通径分析表明,对产量影响最大的因素是行粒数(r=0.5366),相关系数达显著水平。",方法,穗长,6,相关分析,29
"7884、65232宽、8902、B73、CA335与E28等24个自交系对光周期反应最为钝感,是光周期性状改良的优良供体亲本。",表现,8902,12,光周期反应,38
"认为株高、穗位高和穗行数的差异主要来自于品种,密度对其影响较小,在研究密度效应时此3个性状可以不做重点考查;穗长、穗粗、行粒数的差异虽然来自于品种要多一些,但密度的效应加大,在研究密度效应时该3个性状应适当加以考查;倒伏率、空秆率、ASI、秃尖长受密度影响最大,在研究密度效应时应重点加以考查,并且可以做为品种耐密与否的鉴定指标。",方法,性状,43,密度效应,35
"﻿丹1324玉米自交系于1985年以NN14BHt2为抗源亲本、以Mo17为轮回亲本组建的材料,经过Ht2基因定向回交转育技术、基因诱变技术、不育节养增产技术和田间扩大选择群体与轮回选择等方法选育而成,使多个优良性状集中于一体并使其遗传性得以稳定。",方法,不育节养增产技术,71,Ht2基因,50
"在3个超甜玉米测验系中,B1的综合指数最低,B3最高;在20个被测系中,A12、A3、A9、A13、A19、A18、A1、A20、A16和A10的GCA和综合指数较高,A11的综合指数不高但茎粗的GCA效应值最大,穗位高的GCA效应值较小;组合B3×A3、B3×A20、B2×A8、B3×A5和B3×A4的综合性状表现较好,组合B3×A8、B3×A7、B3×A6、B2×A3、B3×A9、B3×A16、B3×A17和B1×A20几乎所有性状的SCA均为负值,可利用价值不高;出苗至吐丝天数、穗位高、穗粗、穗行数和小区产量的广义遗传力和狭义遗传力均超过50.00%,而株高、茎粗和穗长的狭义遗传力均低于35.00%。",表现,穗位高,107,GCA效应值,98
"以96份广西主要玉米自交系为材料,通过两年一点两个水平的田间试验,鉴定玉米自交系在低氮和正常氮水平下的产量、吐丝期穗位叶SPAD值、低氮农学利用效率(LNAE)、株高、穗粒数、百粒重和ASI值等性状指标,分析它们之间的相关关系,计算遗传力等,对玉米自交系氮利用效率进行有效评价。",影响,正常氮,44,ASI值,92
"7884、65232宽、8902、B73、CA335与E28等24个自交系对光周期反应最为钝感,是光周期性状改良的优良供体亲本。",表现,65232宽,5,光周期反应,38
"﻿玉米是世界重要的粮食作物、饲料来源和能源作物,在食品、化工、医疗等各产业中均占有重要地位,而每年因虫害导致的产量损失约占玉米总产量的10%以上。",影响,虫害,50,产量损失,55
"在第8染色体的bnlg1176标记区域共检测到不同年份不同水分条件下控制抽雄、吐丝、开花和ASI的8个QTL,效应值均较高,可以推断这个区域为控制开花性状的重要区域,其标记有辅助选择的应用价值。",调控,QTL,51,开花,42
"ZmCIPK24-2能部分互补拟南芥atsos2突变体的盐敏感表型,在高盐浓度下转基因株系比atsos2突变体的存活率显著提高,根长显著增长。",影响,高盐浓度,35,根长显著增长,64
"为促进黑龙江省松嫩平原中南部玉米实现粒收和构建节本增效栽培模式,本研究以松嫩平原中南部不同基因型玉米品种为研究对象,对比分析了不同基因型品种的出苗质量、植株和籽粒宜机收特性。",表现,品种,50,植株和籽粒宜机收特性,76
"这些指标既可以反映植株受旱程度,又可以比较不同基因型玉米抗旱能力。",表现,玉米,26,抗旱能力,28
"结果表明,群体内个体间均存在较丰富的遗传变异,群体间主要性状及其配合力差异更为明显,其中群体GP-5和GP-3植株穗位高低适中,主要产量性状及其GCA表现较好,优良个体出现频率较高,比对照高产的组合出现次数较多,具有较大改良利用潜势;群体GP-4虽主要产量性状均值偏低,GCA正向效应值偏小,但植株较矮,穗位较低,比对照高产的组合出现次数较多,通过GCA改良和SCA选择有一定利用前景;群体GP-1和GP-2植株穗位偏高,主要产量性状的GCA均为负值,育种潜力不大。",表现,GP-3,51,植株穗位高低适中,55
"﻿为了研究玉米秃尖性状的遗传规律,选取典型的不秃尖自交系Lx9801、Lx00-1、Lx01-3和秃尖自交系Wx04-1、Wx04-2、掖502配制6×6完全双列杂交组合,采用加性-显性-母体效应遗传模型(ADM模型)对试验结果进行分析。",表现,Lx9801,28,玉米秃尖性状,5
"各部位子粒百粒重的胚乳直接加性效应与母体加性效应的协方差达到显著或极显著水平,其余性状的胚、胚乳直接效应与母体效应间的协方差均不显著,通过母体植株的遗传表现可以对这些性状进行有效的选择。",调控,胚乳直接加性效应,9,子粒百粒重,3
"穗腐病不仅可造成玉米产量损失也导致籽粒品质严重下降,病原微生物所产生次生毒素更是危及人畜安全。",影响,穗腐病,0,玉米产量损失,8
植物G蛋白影响株型建成、生物逆境与非生物逆境应答、养分利用效率和产量表现等。,调控,植物G蛋白,0,生物逆境,12
穗长、穗粗、行粒数、百粒重、粒深、出籽率等性状的边际效应指数与产量边际效应指数呈显著正相关。,表现,粒深,14,边际效应指数,24
﻿探讨了玉米籽粒颜色性状遗传并就高考相关的题目进行了分析。,表现,籽粒,6,颜色性状,8
"结果:通过潮霉素抗性筛选从T0种子获得了11株疑似转化植株;对T1、T2、T3代转基因植株的PCR分析证实目的基因已导入玉米植株,并显示随着转化植株世代交替,目的基因可稳定遗传给下一代,且目的基因在待测材料中的检出比例也随着代数的增加而提高;目的基因表达量的测定结果为1.83~11.57ng/mg叶片鲜重之间;田间接种玉米矮花叶病病毒试验结果证明转化植株比对照植株的抗矮花叶病能力有了显著提高,个别株系在T1代的发病率就为0,T1、T2、T3代转化植株的抗病性逐代提高,比临近对照的抗病性提高2~5级;目的基因表达量与植株(系)的抗病性显著相关,r=0.923,P<0.01;入选纯合系的农艺性状也有较大变化,穗粒数比对照系增加约5%。",方法,PCR分析,46,目的基因,53
"同一性状的标准差,在4个群体中以WMBCo在穗长、穗行数、穗重、穗粒重、百粒重、轴粗、轴重、株高性状变异丰富。",表现,WMBCo,16,轴粗,40
研究其株高、茎粗、穗位高、穗长、穗粒重、穗行数、小区产量等15个农艺性状的一般配合力(GCA)、特殊配合力(SCA)和遗传参数。,表现,穗粒重,16,一般配合力,37
