sentence,relation,head,head_offset,tail,tail_offset
"﻿通过辐射诱变获得籼稻保持系龙特浦B巨胚隐性单基因突变体(龙特浦geB),为龙特浦B的巨胚同型系,主要农艺性状无明显差异,但绝对胚重和相对胚重分别由原龙特浦B的063mg和278%提高到115mg和607%,从而糙米粗脂肪含量由250%提高到506%,蛋白质由900%提高到960%,各种氨基酸含量的相对值也相应提高545%~3036%;用龙特浦geB回交龙特浦A育成巨胚不育系龙特浦geA,其与龙特浦A的主要农艺性状、雄性育性特征及构成产量配合力无明显差异",表现,籼稻保持系龙特浦B巨胚隐性单基因突变体(龙特浦geB),9,氨基酸含量,144
"﻿通过对1985—1995年云南省农科院中日合作课题新育成的42个粳稻品种(系)农艺性状及适应性的分析表明,云南粳稻育成品种的发展中部地区与中北部地区基本一致,都表现为1000粒重增加、结实率提高、有效穗略有增加,最终使产量得以大大提高.合系品种(系)除高产外,还具有抗病、抗寒和优质等优点.今后云南的粳稻育种应向增加每穗实粒数、提高1000粒重并适当增加有效穗以提高产量、增强抗病、抗寒性.提高米质的方向发展.",影响,粳稻育成品种,56,抗病,134
"利用方差、通径、判别函数分析等统计方法,确定了华南双季超级稻分蘖盛期的理想形态性状量化指标,即,植株高度:早季55~60cm、晚季60~76cm;每蔸茎蘖数:早季15条左右、晚季14~19条;顶下1叶长:早季40~44cm、晚季42~60cm;顶下1叶宽:早季1.2~1.4cm、晚季1.2~1.3cm;顶下2叶长:早季39~44cm、晚季37~43cm;顶下2叶宽:早季1.1~1.4cm、晚季1.1cm左右;顶叶开张角:早季22~58°、晚季4~12°",单位,晚季,63,cm,60
"﻿以旱稻品种IRAT109与水稻品种越富杂交构建的DH群体的116个株系及其亲本,在水、旱2种栽培条件下种植,研究了稻米加工、外观、蒸煮和营养等品质性状的变化规律及其各品质性状间的相关",影响,水,14,稻米加工,58
"﻿以优质水稻品种越富为遗传背景,具有旱稻品种IRAT109导入片段的271份导入系为材料,在水、旱田2个土壤水分环境下调查糙米率、精米率、整精米率和垩白粒率4个品质性状,研究旱田栽培对稻米品质性状的影响,进行QTL定位及基因型与环境的互作分析。",影响,水,4,精米率,65
"结果表明:各性状表现为数量遗传,只受细胞核基因控制6个性状的加性效应及显性效应均达显著以上统计水平,其中平均根长、根数、根基粗的加性率较高达40%左右",调控,细胞核基因控制,18,性状,6
"转基因阳性植株表型观察结果显示:干涉载体pANDAH05转化日本晴幼胚后,T0代植株出现了类似于突变体1ah137的表型,叶片明显变窄,卷曲程度增加,株高降低;对照空载体pANDA35HK转化日本晴幼胚后,T0代植株仍保持野生型表型;Real-timePCR检测结果显示:日本晴转干涉载体pANDAH05后,目的基因表达量明显降低,干涉强度不同目的基因表达量降低程度不同,研究结果表明目的基因OsCSLD4在水稻叶片形态发育过程中起着非常重要的作用。",表现,T0代植株,37,株高降低,75
"4个性状共检测出13个QTL s位点,分布于6条染色体;这些QTL s对相应性状的贡献率介于8.7%~18.5%之",调控,QTL s,11,性状,2
"﻿衰老是一个主动的过程,包括细胞结构、新陈代谢、基因表达有序发生变化,对植物生存繁衍具有积极的意义,但早衰则对农业生产会产生重要影响,不利于经济性状的获得,研究早衰的分子机理具有重要的意义.利用甲基磺酸乙酯诱变恢复系缙恢10号获得了一个叶片早衰突变体,5叶期前叶片正常绿色,从6叶至剑叶每张叶片从叶尖到叶基部逐渐衰老,叶绿体膜结构破坏、光合色素含量和光合能力及可溶性蛋白含量显著下降,SOD酶活性异常.遗传分析显示该突变性状受一显性单基因控制,暂命名为psl3(presenescing leaf3).利用分子标记将PSL3基因定位于第7染色体标记c7sr1与ID10之间,物理距离为53.5kb,为该基因的图位克隆奠定了基础.",表现,5叶期前叶片,126,正常绿色,132
"所配组合盛优668、盛优8号和盛优568在广东省早稻区试中表现丰、抗、优协调,于2011年1月通过广东省品种审定。",表现,盛优568,15,抗,33
"巨胚稻糙米胚重比原来品种大1倍左右,但千粒重与单株产量略有下降本文还就巨胚稻的育种技术作了讨论",表现,巨胚稻,0,单株产量,23
"﻿用bar基因通过基因枪法轰击春江03粳、嘉59、武育粳3号等未成熟胚,得到抗除草剂Basta转基因株,经加代和选育获得抗除草剂的直播稻品系TR3,TR5和TR8,对转基因株后代(T1,T2)和TR3,TR5,TR8的遗传分析表明,其抗除草剂特性均由一对显性基因控制,符合孟德尔遗传规",表现,T2,93,抗除草剂特性,117
"提高辐照剂量和选用合适的材料,可显著增加无性系的变异率,但辐照剂量高于47.5Gy时,不利变异明显增多;本实验证明,用19Gy的剂量处理幼穗较合适",单位,辐照剂量,2,Gy,39
"该恢复系农艺性状优良,配合力好,米质优,已配制出一批优质、高产、抗瘟性好的组合,与不育系810S配组育成的八两优18于2007年通过湖南省品种审定委员会审定。",表现,恢复系,1,米质优,16
"在遗传主效应协方差中,品质性状与植株农艺性状间以母体加性协方差或细胞质协方差为主,在基因型×环境互作效应协方差中,两类性状间以母体加性互作协方差或细胞质互作协方差为主",方法,加性互作,65,性状,13
"结果表明:水稻CMS的育性恢复表现为质量—数量性状;不同遗传背景对水稻育性恢复的影响可能主要表现在微效QTL的不同;不同环境条件对水稻育性恢复的影响不仅表现为微效QTL的变化上,主效基因的作用亦可能因环境而异",调控,微效QTL,49,水稻育性恢复,33
"﻿通过分析转基因植株的株高、分蘖数、结实率、千粒重四个主要农艺性状的变异,比较基因枪法转化的基因表达框(仅含启动子、基因开放阅读框和终止子序列)和完整质粒两种基因载体形式对水稻农艺性状的变异效应.结果表明,与非转基因亲本相比,转基因植株的千粒重和分蘖数与对照无显著差异;株高变异也不大,17个转基因株系中,仅基因表达框转化的2个株系XFb-36和XFb-63株高变矮;而结实率变异最大,有9个转基因株系结实率显著降低,变异率达50%以上.总体上看,基因表达框和完整质粒两种基因载体形式对水稻农艺性状的变异效应差异不明显,基因枪转化对水稻农艺性状的变异效应主要表现为降低植株的育性,转基因水稻植株的农艺性状变异主要来源于转基因过程中组织培养引起的无性系变异.",调控,基因载体形式,79,水稻农艺性状,86
"灵优359(灵红A×B特恢-4)已进行多年多点试制试种示范,表现中熟高产优质多抗在桂中作早晚稻种植,桂南和广东作早稻种植,桂北、湖南、湖北、江西、福建等省区作晚稻种植,表现生长势旺,早生快发,分蘖多,抗性强,易获高产,一般产量7500kg/hm2,高产的达9000kg/hm2以上,比主栽组合增产500kg/hm2左右,而且米质优",表现,灵优359(灵红A×B特恢-4),0,高产,34
"研究表明,抽穗天数、秆长、穗长、穗粒数、结实率和穗颈长等农艺性状冷水反应的一般配合力和特殊配合力均呈显著,且一般配合力的变异大于特殊配合力的变异;水稻品种的冷水反应有着明显的差异,其中通887、高产102和TR22183等品种的冷水反应较迟钝,并对主要农艺性状的冷水反应指数(CRI)具有较高的一般配合力",表现,中通887,91,农艺性状,28
"其中倒1、倒2和倒4节间受两对加性-显性-上位性主基因控制,倒3节间受一对加性-显性主基因控制;降低株高的效应以主基因显×显上位性效应最大,主基因加性效应和多基因效应使倒1、倒2节间长度缩短,所有的主基因效应都使倒4节间缩短。",调控,一对加性-显性主基因控制,35,倒3节间,30
"﻿利用籼型水稻4个不育系和4个恢复系配组的4×4NCII交配设计,对其光合性状的配合力及遗传力进行分析",方法,光合性状,35,配合力,40
"﻿盐稻10号系江苏沿海地区农科所新近育成的优质高产多抗迟熟中粳糯稻新品种,具有米质优和糯性好,高产、稳产和增产潜力大,熟期适中,适应性广,抗病性强,综合性状优良等特点,2009年通过江苏省品种审定。",表现,盐稻10号,1,糯性好,43
"并对未来育种提出了进一步发掘籼粳亚种间杂交优势,突出优质稻性状的研究和适当调整性状选育指标的初浅看",表现,优质稻,26,性状,29
"实验结果显示,群体萎蔫率和死苗率均呈偏态的连续分布,暗示东乡野生稻苗期耐冷性表现为质量-数量性状遗传特征,由主基因-多基因控制。",表现,东乡野生稻,28,质量-数量性状遗传特征,41
"﻿以6个新不育系和5个早熟恢复系为亲本,采用NCII不完全双列杂交设计,对其杂种F1的11个与产量相关性状进行配合力和遗传力分析,结果表明:大多数性状的一般配合力和特殊配合力方差均达显著或极显著水平,恢复系与不育系对一般配合力基因型方差的贡献因性状不同而有所差异,不同性状间的狭义遗传力大小依次为穗长>每穗实粒数>株高>有效穗>结实率>单株产量>相对日产量>每穗总粒数>全生育期>着粒密度>千粒重,泉5A和LA2012这两个不育系更容易配制出优势杂交组合。",表现,大多数性状,70,一般配合力,76
"eui基因对多数不育系倒一节间长、颖花长与株高有显著增效,对不育度基本无影响",表现,不育系,8,不育度,30
"在供试的晚粳稻中,以秀水27的稳产性为最好,其次为秀水11,更新农虎的稳产性居中,秀水48的稳产性较差,矮粳23的稳产性最差,晚粳稻的稳产性与其有效穗数和每穗总粒数及实粒数的可塑性有关,稳产的品种可塑性大",表现,秀水48,41,稳产性,15
"﻿采用不同剂量N+、Ar+离子处理不同类型粳稻干种子,出现出苗率降低或提高,后代生育期、株高、穗粒数、结实率、单株穗数、单株产量及加工品质、外观品质发生变异,并且具有稳定遗传性;剂量、品种之间存在显著差异",表现,粳稻干种子,21,出苗率,29
"人工接种鉴定结果显示,Xa23导入系和Xa23Bph3聚合系对抗稻白叶枯水平达到中抗和接近高抗的水平(1.1~3.0级),Bph3导入系和Xa23Bph3聚合系抗褐飞虱水平达中抗到抗的级别(3.2~4.0级)。",表现,Xa23Bph3聚合系,19,中抗到抗,87
"虽然沈农265和沈农6014的千粒重和穗数较低,但可以通过保证较高的每穗粒数来获得高产。",表现,沈农265,2,千粒重,15
"空间搭载诱发株高和抽穗期的突变频率均明显低于地面γ辐照处理,但多数性状的诱变效率则高于γ辐",方法,诱发株高,4,地面γ辐照处,22
"﻿介绍了水稻矮秆性状的研究现状,包括水稻矮秆性状的遗传研究,水稻植株矮化机制研究,以及水稻矮化材料的利用情况;综述了水稻矮秆基因定位的常用方法,包括图位克隆法的原理,以及图位克隆法、生物信息学与突变体资源在水稻基因精细定位与克隆方面的应用。",方法,水稻矮秆基因定位,58,突变体资源在水稻基因精细定位,97
"基因型×环境互作分析表明,除衍生一代的单株谷重、单株有效穗数、每穗实粒数性状和衍生二代的播抽天数、单株有效穗数、每穗总粒数性状以及衍生四代的单株有效穗数、每穗总粒数和每穗实粒数性状没有检测到加性×环境互作效应外,其余性状均存在加性×环境互作效应。",表现,衍生四代,65,加性×环境互作效应,95
﻿通过空间诱变从光身稻品种Francis的M2群体中发现1株叶色白化转绿、多分蘖矮秆突变体hfa-1。,表现,突变体hfa-1,42,叶色白化转绿,30
"该恢复系配合力高、恢复力强、恢复谱广,株形结构、米质和抗性等特性都比明恢63有相应的提高和改良",表现,恢复系,1,配合力高,4
"﻿对近10a育成的水稻不同生育类型品种产量构成因素进行剖析与性状相关性分析结果:①吉林省育成的各类型品种主要以穗数型为主;②不同类型品种的株高与产量有显著的正相关;③中早熟和中熟类型品种是降低了每公顷的穗数适当提高了每穗的粒数和千粒重,而中晚熟和晚熟类型品种每公顷穗数较对照相对增多,穗粒数减少;④不同类型品种千粒重都有所提高,但结实率中早熟和中熟类型品种都略高于中晚熟和晚熟类型品种",表现,中早熟和中熟类型品种,83,千粒重,114
"﻿利用由糙米蛋白含量高达14.55%的广东省农家品种三春种配制的BC1群体进行糙米高蛋白基因的QTL定位,定位到了6个糙米蛋白基因的QTLs,其中有3个新的QTL",调控,基因,44,糙米蛋白含量,4
"﻿通过5×5不完全双列杂交,对杂交水稻亲本的8个主要农艺性状配合力、遗传力及F1的优势表现进行分析,结果表明:1)所考查性状的一般配合力及特殊配合力均达到极显著水平,其中株高、穗长、单株有效穗、每穗总粒数、每穗实粒数、结实率、千粒重以加性效应为主,而单株粒重以非加性效应为主;2)杂交水稻的配组优势同时受到一般配合力和特殊配合力的影响,一般配合力与亲本自身的表现值呈极显著正相关;3)各性状的狭义遗传力由大到小的趋势是:株高、每穗总粒数、穗长、千粒重、单株有效穗、每穗实粒数、结实率、单株粒重。",影响,非加性效应,130,单株粒重,125
"(2)亲本品种及其组合随海拔升高,株高、穗长、每穗实粒数和颖花数有增大的趋势,但结实率则相反;杂种后代主要经济性状SCA的不同稻区及不同世代的差异与亲缘关系的远近密切相关,稻作育种目标应根据不同稻作区而",影响,稻区,63,经济性状SCA,53
缙恢12号是改良穗颈维管束性状的优良亲本,表现,优良亲本,16,穗颈维管束性状,8
"﻿采用沙培法,应用主基因多基因混合遗传模型分析了低温胁迫下强耐冷的东乡野生稻与两个冷敏感籼稻所配组合6个世代材料苗期根系形态性状的遗传,发现东乡野生稻最长不定根长的遗传属于1对加性主基因+加性-显性多基因遗传,不定根数为2对显性-加性-上位性主基因遗传。",表现,东乡野生稻,33,强耐冷,29
"该突变体叶片无中脉,颖花内稃比外稃长,内、外稃不抱合,雌蕊同源转化成雄蕊,浆片呈稃片状",表现,突变体,1,雌蕊同源转化成雄蕊,27
"﻿对1994~1998年通过“国际水稻遗传评价网”(INGER)引进的351份“灌溉稻极早熟、早熟观察圃”(IIRON-VE/E)稻种资源进行了初步的观察研究,从中筛选出一批具有优异性状的基因型供育种利",表现,灌溉稻,40,早熟,44
"另一类为亲籼、粳并对胞质雄性不育具恢复能力的突变体,其突变频率依次为3×10-3和2×10-3",方法,对胞质雄性不育具恢复能力,9,突变频率,27
"﻿通过水培试验测定水稻F3群体(Palawan×IR42)137株系的幼苗根体积、根表面积、相对根粗、最大根长和根数等根系形态特征.借助由该组合的F2群体所构建的RFLP标记连锁图,通过方差分析检测与根系形态特征表型值相关连的分子标记位点,共测得7个标记位点分别与3个表型性状关连.其中位于2号染色体上的2对连锁标记位点RG139与RZ742及RG171与RG544跟根体积关连;位于5号染色体上的标记位点CDO105与相对根粗关连;2号染色体上的标记位点RG139及5号染色体上的1对连锁标记位点RG229与RG13跟最大根长关连.这些标记位点对关联的表型性状都具有显著的加性效应.",调控,RG544,178,根体积,37
"结果表明,外源基因的导入可引起受体植株后代农艺性状可遗传的变异,与对照相比,多数转基因系的株高、穗长、粒长、千粒重等性状有增加的趋势;而一次枝梗数、二次枝梗数、每穗总粒数、每穗实粒数、结实率和粒宽则有减少的趋势;外源基因的导入对穗数和单株产量的影响则较小",表现,转基因系,40,穗长,48
"结果表明,盐碱胁迫使水稻株高降低、秆长缩短,且盐碱度越大,降低幅度越大;盐碱胁迫使水稻单株分蘖力明显下降,使分蘖高峰明显推迟或不出现分蘖高峰;水稻抽穗期随着盐碱度的提高,其延长的天数越长,并且发现不耐盐碱的早熟品种比耐盐碱的中晚熟品种抽穗晚;水稻成熟期的株高或秆长不宜作为衡量其耐盐碱强弱的主要指标,只能作为一般参考指标",表现,中晚熟品种,112,耐盐碱,99
"﻿用耐冷性极强的地方稻种与十和田研制的近等基因系(NILs)及亲本共29份,2004年在云南省农业科学院(低田温冷泉水)和嵩明阿子营两种极端冷害条件下进行孕穗期耐冷性鉴定,考查了17个农艺性状,用SPSS软件进行分析,结果表明:(1)极端冷害下23份NILs的结实率超过轮回亲本十和田(0.47%),超过十和田10%的NILs共有14份,如昆明小白谷与十和田配制的TKB6F6(44.2%),结实率不但高于十和田而且接近昆明小白谷;(2)昆明点结实率与穗颈长(0.878)、实粒数(0.977)、秕粒数(-0.879)、花药体积(0.851)呈极显著相关;(3)阿子营点结实率与株高(0.612)、穗颈长(0.511)、第一节长(0.544)、实粒数(0.958)呈极显著相",方法,第一节长,310,SPSS软件进行分析,98
"以低温下叶绿素含量为指标,检测到分别位于染色体3,5,6(2个)和9上的5个QTLs;而在染色体2,3,9和12上检测到与低温下丙二醛含量有关的4个QTLs;用凋萎率为指标定位的5个QTLs则分别位于染色体1(2个),3,9和11上。",调控,QTLs,38,凋萎率,80
"利用LRS突变体为父本配制杂交组合,其F2代群体中正常与突变植株的分离比例为3∶1,表明该突变性状是由单隐性基因控制的",调控,单隐性基因,51,突变性状,45
"﻿通过分析转基因植株的株高、分蘖数、结实率、千粒重四个主要农艺性状的变异,比较基因枪法转化的基因表达框(仅含启动子、基因开放阅读框和终止子序列)和完整质粒两种基因载体形式对水稻农艺性状的变异效应.结果表明,与非转基因亲本相比,转基因植株的千粒重和分蘖数与对照无显著差异;株高变异也不大,17个转基因株系中,仅基因表达框转化的2个株系XFb-36和XFb-63株高变矮;而结实率变异最大,有9个转基因株系结实率显著降低,变异率达50%以上.总体上看,基因表达框和完整质粒两种基因载体形式对水稻农艺性状的变异效应差异不明显,基因枪转化对水稻农艺性状的变异效应主要表现为降低植株的育性,转基因水稻植株的农艺性状变异主要来源于转基因过程中组织培养引起的无性系变异.",表现,转基因植株,5,分蘖数,14
"在供试的晚粳稻中,以秀水27的稳产性为最好,其次为秀水11,更新农虎的稳产性居中,秀水48的稳产性较差,矮粳23的稳产性最差,晚粳稻的稳产性与其有效穗数和每穗总粒数及实粒数的可塑性有关,稳产的品种可塑性大",影响,晚粳稻,4,稳产性,15
"结果表明,细条病抗性遗传系由多对核基因控制,属数量性状遗传;白叶枯病由一对主效隐性核基因控制,并可能存在遗传背景(杂合体)或微效基因效应;两种病害的抗性基因有一定的连锁关系;通过对F2群体质量性状与抗病性的相关分析,没有找到抗性标记性状(基因)",影响,白叶枯病,30,隐性核基因,39
"﻿研究了直链淀粉含量、胶稠度、碱消值、蛋白质含量、粒长、粒宽、长宽比和千粒重等8个品质性状之间的遗传相关,以及直链淀粉含量、胶稠度、碱消值和蛋白质含量等4个品质性状与单株穗数、穗实粒数、千粒重和单株产量等4个产量性状之间的遗传相关",方法,粒宽,28,遗传相关,48
"该不育系株叶型好,分蘖力较强不育度和不育株率为100%,败育以典败为主,少数圆败;柱头外露率70%左右,双外露40%以上,柱头生活力长达7天",表现,不育系株,1,双外露,53
遗传分析表明hfa-1的白化转绿、多分蘖矮秆表型受单隐性核基因hw-1(t)控制。,表现,hfa-1,6,多分蘖矮秆表型,17
"该突变体苗期植株呈黄绿色,分蘖期开始逐渐转为淡绿色。",表现,突变体,1,淡绿色,22
"构建Ghd7和Qph1两个QTL同时分离的近等基因系群体,发现Pokkali在Ghd7和Qph1位点均携带增效等位基因,Ghd7和Qph1的上位性影响了株高。",调控,Ghd7,2,株高,76
"在BC1F6获得92个Wx基因型纯合的株系,从中选择7个农艺性状较优以及外观品质较好的株系进入小区观察试验",表现,株系,19,外观品质,36
"﻿以6个长穗颈不育系及3个相应原不育系与3个高秆隐性恢复系及其相应的原恢复系为材料,组配成一套9组共36个组合的F1材料.每组的4个杂交稻F1遗传背景一致,但eui基因型不一致,分别带有eui1、eui2基因,同时带有eui1、eui2基因以及不含eui基因.比较了这4种不同eui基因型的杂交稻农艺性状、产量性状及籽粒灌浆的差异.结果表明:e杂交稻同原杂交稻在株叶形态和主要农艺性状上十分相似,但e杂交稻比原杂交稻在株高、穗长、穗颈长、剑叶长、倒二叶长、倒一节间长6个性状上均有较明显的增加,eui基因对杂交稻其它农艺性状影响较小.e杂交稻在产量构成和穗部性状上与原杂交稻相当.不同eui基因的效应以eui1基因较大,eui2基因较小;同时含有eui1、eui2基因的组合表现与仅含eui1基因的组合相似.4种不同eui基因型杂交稻的籽粒灌浆过程相似.",表现,原杂交稻,176,穗颈长,215
"综合考虑品种的产量水平和外观品质,W002、丰优香占、南京16号等可作为育种亲本,以改良水稻品种的食味和外观品质及其稳定性",表现,品种,4,产量水平,7
"变异系与对照比较,经济性状变优,实粒数增加,结实率提高,粒重增加,籽粒长宽比与剑叶增长,米质变优,蛋白质含量提高",表现,变异系,0,结实率,22
单株产量的一般配合力与单株有效穗数、每穗实粒数和结实率的一般配合力呈显著或极显著正相关。,影响,单株产量,0,每穗实粒数,18
"通过和栽培稻中86—44回交,获得高抗褐飞虱的回交一代(BC1F1)及回交二代(BC2F1),经自效获得BC2F2,部分株系农艺性状优良,结实正常,高抗褐飞虱",表现,回交二代(BC2F1),35,高抗褐飞虱,17
"本试验利用分子标记辅助选择将水稻抗褐飞虱基因Bph14、Bph15同时导入到汕优63的亲本明恢63和珍汕97B中,以改良汕优63的褐飞虱抗性;同时将抗稻瘟病基因Pi1、Pi2导入到已改良的珍汕97B中,使后者同时获得褐飞虱和稻瘟病抗性。",调控,抗稻瘟病基因Pi1,74,褐飞虱,17
"结果表明,抑制OsCRY1a基因的表达,水稻开花期推迟16d,株高和粒长明显增加,而其他重要农艺性状如剑叶长、宽和穗长等无明显变化。",调控,OsCRY1a基因,7,粒长明显,34
"﻿为选育低温钝感的早籼型光温敏核不育系,从抗罗早与5690杂交后代中获得一不育株,通过自然和人工低温的增压选择,育成了水稻低温敏两用核不育系陆18S.该不育系育性转换临界温度低于23.5℃,在湖南稳定不育期达90d左右.开花习性好,异交结实率达50%,可育期自交结实率在30%以上.具有广亲和性,一般配合力强.农艺性状好,米质优,耐寒性好,中抗稻瘟病.用其选配的早晚稻组合经参加省(市)区试,应用前景看",表现,不育系,16,自交结实率,129
